date,ticker,previous_observed_date,previous_close,close,observed_to_observed_return,abs_return,price_ratio,direction,calendar_days_since_previous_observation,presence_on_previous_observed_date,presence_on_date,corporate_action_multiplier,nearest_standard_factor,factor_relative_gap
2023-11-30,GAZT,2022-11-25,88.5,1739.0,18.649717514124294,18.649717514124294,19.649717514124294,up,370,False,False,19.649717514124294,20.0,0.017514124293785294
2015-05-08,LPSB,2015-05-05,2.34,8.96,2.8290598290598297,2.8290598290598297,3.8290598290598297,up,3,False,False,3.8290598290598297,4.0,0.04273504273504258
2023-07-19,PRFN,2019-10-08,1.3875,4.41,2.1783783783783788,2.1783783783783788,3.1783783783783788,up,1380,False,False,3.1783783783783788,3.0,0.05945945945945952
2015-10-21,TAER,2015-10-20,6.8,19.5,1.8676470588235294,1.8676470588235294,2.8676470588235294,up,1,False,False,2.8676470588235294,3.0,0.044117647058823484
2023-11-30,GAZS,2022-11-25,328.0,839.0,1.5579268292682928,1.5579268292682928,2.557926829268293,up,370,False,False,2.557926829268293,3.0,0.14735772357723576
2015-11-05,USBN,2015-11-03,0.0337,0.085,1.5222551928783385,1.5222551928783385,2.5222551928783385,up,2,False,False,2.5222551928783385,3.0,0.15924826904055378
2013-08-15,PHOR,2013-08-14,623.9,1371.8,1.1987497996473793,1.1987497996473793,2.1987497996473793,up,1,False,False,2.1987497996473793,2.0,0.09937489982368963
2024-12-09,LPSB,2023-08-02,29.3,63.9,1.1808873720136517,1.1808873720136517,2.1808873720136517,up,495,False,False,2.1808873720136517,2.0,0.09044368600682584
2014-12-15,LPSB,2014-11-05,1.6,3.35,1.09375,1.09375,2.09375,up,40,False,False,2.09375,2.0,0.046875
2014-12-18,AFKS,2014-12-17,6.61,13.63,1.0620272314674737,1.0620272314674737,2.0620272314674737,up,1,True,True,2.0620272314674737,2.0,0.031013615733736843
2014-11-27,VRSBP,2014-10-23,7.5,15.25,1.0333333333333332,1.0333333333333332,2.033333333333333,up,35,False,False,2.033333333333333,2.0,0.016666666666666607
2023-11-30,GAZC,2022-11-25,328.0,659.0,1.0091463414634148,1.0091463414634148,2.0091463414634148,up,370,False,False,2.0091463414634148,2.0,0.004573170731707377
