market,quantile,n_runs,mean_sharpe,median_sharpe,min_sharpe,max_sharpe,n_positive_sharpe,mean_annualized_return,mean_annualized_vol,mean_max_drawdown,mean_annualized_turnover
crypto,0.1,9,-0.054088257551065534,0.0823439198933108,-0.6746972484407575,0.2367676018034363,5,-0.10772091566501286,0.43320513707651004,-0.6572443422382134,6.430181189989307
crypto,0.2,9,0.06392505184563338,0.0073627477800553,-0.2804819124060038,0.5729656241696687,5,-0.027414126846860884,0.31853303298973656,-0.5067520324498402,5.511660313720583
crypto,0.3,9,-0.01725009376563897,0.0126770202760554,-0.5390500761564828,0.5667307274244847,5,-0.03611516099504656,0.2592360656763104,-0.48345814714749213,5.0562662184480525
moex,0.1,9,0.4432825041375581,0.6283609487401361,-0.199462196114626,0.8863203327616254,7,0.05421765518363483,0.13234400904417143,-0.2672998791241197,4.113082231634273
moex,0.2,9,0.6087308380705196,0.780429229941269,-0.0996309785181528,0.9705446817001308,8,0.05467906234810867,0.09408174248573381,-0.18397858663129404,3.404126541891757
moex,0.3,9,0.4821353152498821,0.6950398078308477,-0.4642996950048548,1.0504014168608455,7,0.03342720954803581,0.07518621213264572,-0.18561187470934185,3.0052126788794347
us,0.1,9,0.14767284863969485,0.2553060780100749,-0.2359760955175441,0.489012249195197,6,0.011240153540708044,0.11204075050429009,-0.5925810276801186,3.954026813580037
us,0.2,9,0.11391391078293599,0.2331815658849474,-0.2492904394433195,0.4050355759865759,6,0.0071283895772500895,0.09016544815755144,-0.5075603261843722,3.4109343509051793
us,0.3,9,0.09349436836784747,0.2076941698414531,-0.2582112515321723,0.3490490889012259,6,0.0050093993093672,0.07548750419013224,-0.44477483539051144,2.990576866731531
