market,fold,n_eligible_configs,top_fraction_rank_cutoff,spearman_train_test_rho,mean_absolute_rank_change,median_absolute_rank_change,train_top_fraction_retention_share,train_top3_to_test_top_fraction_share,train_winner_run_id,train_winner_test_rank,train_winner_test_net_sharpe,train_actual_start,train_actual_end,test_actual_start,test_actual_end
crypto,crypto_f1,27,9,-0.40964590964590963,11.851851851851851,10.0,0.1111111111111111,0.0,crypto_lb24M_sk3M_q20,23.0,0.1058776876743504,2020-05-01,2020-12-31,2021-01-01,2021-12-31
crypto,crypto_f2,27,9,-0.11538461538461539,9.925925925925926,9.0,0.1111111111111111,0.3333333333333333,crypto_lb6M_sk1M_q20,7.0,0.4060979825217078,2020-05-01,2021-12-31,2022-01-01,2022-12-31
moex,moex_f1,24,8,0.29739130434782607,6.25,7.0,0.5,0.6666666666666666,moex_lb6M_sk0M_q30,8.0,0.7851966257454783,2015-07-01,2016-12-30,2017-01-03,2018-12-29
moex,moex_f2,24,8,0.3947826086956522,5.416666666666667,3.5,0.5,0.3333333333333333,moex_lb6M_sk0M_q30,15.0,-0.0033041304639822005,2015-07-01,2018-12-29,2019-01-03,2020-12-30
moex,moex_f3,24,8,0.8904347826086957,2.0833333333333335,1.0,0.625,0.6666666666666666,moex_lb6M_sk1M_q30,1.0,4.645720094797555,2015-07-01,2020-12-30,2021-01-04,2021-12-30
moex,moex_f4,24,8,0.01565217391304348,8.0,7.0,0.25,0.0,moex_lb6M_sk1M_q30,21.0,-0.21986758229270367,2015-07-01,2021-12-30,2022-01-03,2022-12-30
us,us_f1,27,9,-0.28327228327228327,9.703703703703704,8.0,0.3333333333333333,0.0,us_lb12M_sk0M_q10,25.0,0.8704610180218897,2010-01-04,2014-12-31,2015-01-02,2015-12-31
us,us_f2,27,9,-0.24603174603174602,10.592592592592593,12.0,0.3333333333333333,0.0,us_lb12M_sk1M_q20,16.0,-1.2327125729860677,2010-01-04,2015-12-31,2016-01-04,2016-12-30
us,us_f3,27,9,-0.2777777777777778,11.185185185185185,11.0,0.0,0.0,us_lb12M_sk1M_q20,12.0,0.41356340895960997,2010-01-04,2016-12-30,2017-01-03,2017-12-29
us,us_f4,27,9,0.25396825396825395,7.2592592592592595,5.0,0.2222222222222222,0.0,us_lb12M_sk1M_q20,15.0,0.6935684245588047,2010-01-04,2017-12-29,2018-01-02,2018-12-31
us,us_f5,27,9,-0.4694749694749695,11.925925925925926,12.0,0.2222222222222222,0.3333333333333333,us_lb12M_sk1M_q20,13.0,-0.24308899921192073,2010-01-04,2018-12-31,2019-01-02,2019-12-31
us,us_f6,27,9,0.09401709401709402,7.925925925925926,6.0,0.2222222222222222,0.0,us_lb12M_sk1M_q20,13.0,-0.23949697487282054,2010-01-04,2019-12-31,2020-01-02,2020-12-31
us,us_f7,27,9,0.6642246642246642,4.962962962962963,4.0,0.4444444444444444,0.3333333333333333,us_lb6M_sk1M_q10,1.0,1.7684401240340217,2010-01-04,2020-12-31,2021-01-04,2021-12-31
us,us_f8,27,9,0.49511599511599513,5.62962962962963,3.0,0.3333333333333333,0.0,us_lb6M_sk1M_q10,16.0,0.5392333103119799,2010-01-04,2021-12-31,2022-01-03,2022-12-30
